N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"83,000",500,+0.61%,100,"4,954,920","5,969,783",54.94,"13,386,857",22.67,8.69,
2,SK하이닉스,"126,000","1,000",+0.80%,"5,000","917,283","728,002",49.96,"2,887,828",31.96,4.25,
3,LG화학,"1,026,000","26,000",+2.60%,"5,000","724,277","70,592",44.36,"449,021",95.86,1.84,
4,삼성전자우,"74,000",300,-0.40%,100,"608,936","822,887",79.30,"1,448,189",20.21,N/A,
5,NAVER,"359,500","1,500",+0.42%,100,"590,527","164,263",57.06,"836,561",71.57,10.56,
6,삼성바이오로직스,"812,000","1,000",-0.12%,"2,500","537,260","66,165",10.37,"51,017",151.18,4.77,
7,삼성SDI,"771,000","24,000",+3.21%,"5,000","530,175","68,765",44.22,"350,737",263.05,2.94,
8,현대차,"247,500","1,000",-0.40%,"5,000","528,829","213,668",31.12,"1,211,493",59.14,4.32,
9,셀트리온,"346,000","4,500",+1.32%,"1,000","467,092","134,998",21.25,"1,619,196",93.51,11.19,
10,기아차,"99,000",900,+0.92%,"5,000","401,310","405,363",34.70,"9,143,943",46.00,6.50,
11,카카오,"451,000","3,500",-0.77%,500,"399,410","88,561",33.65,"346,185",-500.55,-5.81,
12,현대모비스,"351,000","7,000",-1.96%,"5,000","333,642","95,055",41.06,"744,963",21.41,7.28,
13,SK이노베이션,"300,500","16,500",-5.21%,"5,000","277,859","92,466",23.37,"2,500,585",-11.43,-0.20,
14,LG전자,"157,500",0,0.00%,"5,000","257,745","163,648",32.55,"1,548,598",34.21,0.22,
15,LG생활건강,"1,623,000",0,0.00%,"5,000","253,483","15,618",46.00,"16,938",36.36,20.32,
16,삼성물산,"133,500",0,0.00%,100,"249,494","186,887",14.78,"355,225",22.37,4.77,
17,POSCO,"262,000","2,500",-0.95%,"5,000","228,430","87,187",51.39,"183,128",24.00,4.18,
18,SK,"313,500","4,500",-1.42%,200,"220,580","70,360",21.40,"364,564","1,322.78",4.31,
19,엔씨소프트,"975,000","13,000",+1.35%,500,"214,052","21,954",50.26,"61,761",38.15,14.72,
20,SK텔레콤,"258,000","11,000",+4.45%,500,"208,324","80,746",35.13,"640,922",19.00,3.92,
21,KB금융,"44,100","2,050",+4.88%,"5,000","183,371","415,808",66.27,"3,037,513",5.38,8.92,
22,LG,"103,000","1,000",+0.98%,"5,000","177,734","172,557",34.87,"306,506",14.56,5.87,
23,신한지주,"31,850",500,+1.59%,"5,000","164,537","516,600",58.45,"2,515,477",4.57,9.09,
24,삼성전기,"206,000","1,500",-0.72%,"5,000","153,869","74,694",35.11,"393,896",42.20,10.18,
25,한국전력,"23,400",250,-1.06%,"5,000","150,220","641,964",17.04,"1,793,808",162.50,-3.42,
26,삼성에스디에스,"193,000","1,000",+0.52%,500,"149,339","77,378",11.69,"111,094",28.49,11.76,
27,삼성생명,"71,300",600,+0.85%,500,"142,600","200,000",12.35,"247,063",14.32,3.26,
28,아모레퍼시픽,"225,000","6,500",-2.81%,500,"131,532","58,458",32.56,"264,711",361.74,5.36,
29,넷마블,"138,000",0,0.00%,100,"118,512","85,878",24.23,"349,795",55.89,3.54,
30,SK바이오팜,"149,500",0,0.00%,500,"117,078","78,313",4.66,"114,912",-135.91,-313.66,
31,KT&G,"80,000",100,-0.12%,"5,000","109,834","137,292",40.36,"421,862",11.16,12.39,
32,하나금융지주,"35,850","1,900",+5.60%,"5,000","107,637","300,242",67.10,"2,290,935",4.38,8.77,
33,포스코케미칼,"137,500","1,500",+1.10%,500,"106,512","77,463",7.48,"344,048",308.99,11.57,
34,한온시스템,"18,150",50,-0.27%,100,"96,885","533,800",20.10,"737,193",69.01,14.98,
35,롯데케미칼,"277,500","7,500",+2.78%,"5,000","95,114","34,275",26.22,"124,802",82.03,5.51,
36,빅히트,"245,000","3,500",+1.45%,500,"87,278","35,624",9.31,"343,340",N/A,56.47,
37,한화솔루션,"53,900","3,300",+6.52%,"5,000","86,167","159,864",18.78,"3,751,148",-98.90,-4.02,
38,S-Oil,"74,800","1,200",+1.63%,"2,500","84,212","112,583",76.19,"546,427",-10.03,1.01,
39,금호석유,"275,500","22,500",+8.89%,"5,000","83,938","30,468",28.50,"1,699,709",23.57,11.84,
40,LG디스플레이,"23,250",100,-0.43%,"5,000","83,192","357,816",24.04,"1,987,994",-3.38,-22.35,
41,현대글로비스,"220,000","4,000",-1.79%,500,"82,500","37,500",34.77,"511,578",12.36,11.25,
42,삼성화재,"167,000",500,-0.30%,500,"79,116","47,375",44.26,"107,159",12.21,4.85,
43,고려아연,"411,000","2,000",+0.49%,"5,000","77,556","18,870",22.83,"56,118",13.85,9.76,
44,한국조선해양,"98,100",700,+0.72%,"5,000","69,428","70,773",16.46,"176,135",324.83,1.40,
45,CJ제일제당,"443,000","3,500",+0.80%,"5,000","66,690","15,054",24.70,"37,252",9.20,3.16,
46,우리금융지주,"9,200",190,+2.11%,"5,000","66,449","722,268",25.02,"1,526,819",4.93,N/A,
47,미래에셋대우,"9,780",130,+1.35%,"5,000","63,112","645,316",14.82,"1,959,661",10.22,7.56,
48,KT,"24,000",50,-0.21%,"5,000","62,667","261,112",43.87,"1,040,876",10.23,4.61,
49,기업은행,"8,220",110,+1.36%,"5,000","60,718","738,664",10.39,"1,272,883",4.20,7.36,
50,KODEX 200,"42,745",335,+0.79%,0,"60,249","140,950",7.72,"10,419,162",N/A,N/A,
51,한국타이어앤테크놀로지,"44,950","1,250",+2.86%,500,"55,682","123,875",40.75,"292,015",21.63,6.03,
52,LG유플러스,"12,650",100,-0.78%,"5,000","55,231","436,611",30.26,"3,400,006",6.97,6.30,
53,현대제철,"40,700",500,-1.21%,"5,000","54,312","133,446",19.34,"532,843",-22.05,0.10,
54,녹십자,"452,000","12,500",-2.69%,"5,000","52,823","11,687",21.31,"141,875",121.24,-0.35,
55,대한항공,"29,900",600,-1.97%,"5,000","52,089","174,210",11.85,"2,005,961",-8.79,-22.09,
56,한미사이언스,"76,800",300,-0.39%,500,"51,690","67,305",1.76,"113,136",349.09,4.73,
57,코웨이,"69,600",0,0.00%,500,"51,365","73,800",60.82,"196,045",14.38,30.74,
58,아모레G,"62,100","1,000",+1.64%,500,"51,207","82,458",19.97,"108,855",219.43,4.12,
59,강원랜드,"23,900",100,+0.42%,500,"51,132","213,940",22.22,"373,484",-26.91,9.16,
60,LG이노텍,"212,500",500,+0.24%,"5,000","50,293","23,667",31.34,"157,871",38.52,4.73,
61,SK케미칼,"428,000","15,000",-3.39%,"5,000","50,253","11,741",21.96,"343,940",19.53,1.51,
62,SKC,"129,500","2,500",-1.89%,"5,000","49,039","37,868",8.07,"369,930",57.48,3.86,
63,오리온,"120,000","1,500",+1.27%,500,"47,443","39,536",42.02,"66,204",17.33,14.24,
64,한국금융지주,"84,900","1,500",+1.80%,"5,000","47,311","55,726",30.12,"290,472",7.77,18.14,
65,현대건설,"42,200",950,-2.20%,"5,000","46,992","111,356",18.67,"878,135",20.58,6.30,
